"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","2,963,126","e"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","2,371,356","e"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0","e"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","464,219","e"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)",":","c"
"2004","Belgium","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Belgium","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","195,064,838",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","192,750,164",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","192,647,013",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","144,660",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","103,151",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","47,831",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","2,122,183",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Bulgaria","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Waste treatment","12,090,994",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","11,981,941",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","11,981,941","e"
"2004","Bulgaria","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","44,984",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","322",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","63,747",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Bulgaria","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Waste treatment","182,973,844",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","180,768,223",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","180,665,072",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","99,676",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","103,151",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","47,509",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","2,058,436",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Bulgaria","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","22,521,031",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","5,957,036",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","5,862,578",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","40,605",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","94,458",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","787,987",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","15,735,403",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Czechia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Czechia","Tonne","Hazardous","Total waste","Waste treatment","648,497",""
"2004","Czechia","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","150,858",""
"2004","Czechia","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","150,858",""
"2004","Czechia","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","30,693",""
"2004","Czechia","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","0",""
"2004","Czechia","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","29,171",""
"2004","Czechia","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","437,775",""
"2004","Czechia","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Czechia","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Waste treatment","21,872,534",""
